NumberInFamily,GEOID
1,42101035500
5,42101032600
4,42101031101
3,42101016901
3,42101010800
2,42101009300
2,42101007400
1,42101012201
1,42101008301
3,42101012204
1,42101033000
1,42101006200
1,42101027600
1,42101011000
1,42101032100
1,42101024400
1,42101027902
2,42101032900
1,42101023600
3,42101029400
2,42101029800
3,42101016702
5,42101024500
2,42101020101
6,42101009500
4,42101028400
3,42101028100
3,42101009802
4,42101011100
6,42101008200
2,42101016600
5,42101039001
5,42101009600
1,42101013300
1,42101008301
1,42101006000
4,42101014700
3,42101007800
8,42101016902
4,42101016800
1,42101008301
1,42101008301
3,42101026200
4,42101007200
2,42101031101
4,42101035701
1,42101024500
2,42101033300
2,42101009300
2,42101017601
4,42101020300
5,42101006700
2,42101008200
2,42101032600
1,42101027700
4,42101011200
2,42101020101
1,42101002000
3,42101011400
2,42101015200
1,42101035601
3,42101009200
1,42101009200
1,42101010900
1,42101030100
3,42101019700
1,42101033300
2,42101013900
2,42101020101
2,42101015102
3,42101008701
1,42101012201
3,42101025300
2,42101012100
2,42101013900
4,42101026302
3,42101010200
2,42101011200
1,42101020200
3,42101006400
4,42101001102
3,42101030000
3,42101027600
1,42101035601
4,42101010900
5,42101014700
1,42101012100
3,42101002500
1,42101012201
5,42101013900
1,42101024600
4,42101017500
2,42101026700
3,42101010800
1,42101009200
3,42101009200
4,42101009200
3,42101009200
2,42101009200
3,42101010000
1,42101033300
2,42101007101
1,42101016400
2,
1,42101035701
1,42101000500
1,42101000500
1,
1,42101012100
1,
1,42101003300
1,42101028000
2,42101034802
2,42101030100
2,42101017201
3,42101031700
1,42101006600
1,42101024100
3,42101015300
4,42101030501
1,42101002500
2,42101002500
1,42101002702
3,42101029800
2,42101019700
5,42101020300
2,42101010400
2,42101010400
2,42101010400
2,42101010400
2,42101010400
1,
3,42101010400
2,42101001900
2,42101024900
4,42101003701
6,42101011100
1,42101002200
4,42101016400
2,42101010400
1,42101027800
1,42101011100
2,42101028600
3,42101030501
3,42101009600
1,42101002500
2,42101010400
4,42101024900
3,42101011400
1,42101011000
1,42101010400
1,42101008302
3,42101039001
1,42101030200
1,42101001400
2,42101010400
1,42101010400
5,42101016701
1,42101011500
1,42101023700
2,42101013800
3,42101011100
2,42101003200
5,42101030200
4,42101029900
1,42101007101
2,42101024600
1,42101012201
1,42101001600
1,42101025200
4,42101026800
3,42101003300
1,42101008000
4,42101007200
3,42101016400
1,42101013300
4,42101028000
1,42101012100
3,42101019200
1,42101014700
1,42101012100
1,42101038301
1,42101013300
1,42101003300
1,42101003300
1,42101024100
1,42101008301
1,42101030100
2,42101024500
2,42101015101
2,42101007200
2,42101025300
2,42101010700
3,42101011100
2,42101011400
1,42101036501
3,42101009600
4,42101008102
3,42101011100
3,42101019900
5,42101029300
4,42101004201
1,42101016500
2,42101027700
2,42101028901
1,42101035800
4,42101016902
5,42101025200
1,42101000500
1,42101000500
1,42101000500
1,42101000500
1,42101030100
5,42101031300
6,42101032000
1,42101030200
1,42101029900
2,42101016702
1,42101010600
5,42101019900
2,42101010400
5,42101016300
4,42101029900
4,42101028200
1,42101013900
1,42101014100
4,42101007400
4,42101038301
1,42101013900
4,42101014700
4,42101009400
4,42101016200
2,42101009200
1,42101012204
1,42101011000
2,42101037700
8,42101013800
1,42101002701
1,42101019200
1,42101006500
1,42101008301
1,42101029800
3,42101012204
1,42101020200
1,42101008301
4,42101015200
4,42101010400
1,42101013900
1,42101013900
2,42101032000
1,42101012201
5,42101028600
3,42101006700
4,42101011100
3,42101010800
2,42101026800
1,42101024500
2,42101009200
1,42101017300
3,42101038301
1,42101033300
1,42101033300
1,42101019900
1,42101029900
1,42101010800
1,42101030100
1,42101016500
1,42101008301
1,42101006500
1,42101029800
1,42101028200
2,42101008102
1,42101008302
6,42101020102
1,42101006500
2,42101038301
1,42101010800
1,42101018802
1,42101009802
1,42101013900
3,42101037700
5,42101019700
3,42101010800
2,42101009200
6,42101010800
1,42101000401
2,42101010800
1,42101008301
1,42101008601
1,42101012204
3,42101039002
4,42101018802
1,42101013900
1,42101024100
1,42101024100
1,42101013300
1,42101024100
1,42101013900
1,42101000500
2,42101010400
3,42101015700
3,42101015700
3,42101025900
5,42101017500
1,42101007102
1,42101017500
1,42101027600
2,42101025200
1,42101027200
1,42101024100
2,42101015700
2,42101038301
1,42101009500
1,42101012204
4,42101002500
1,42101037700
1,42101013900
4,42101020200
2,42101015700
1,42101002200
1,42101014700
1,42101020200
1,42101024500
3,42101008101
2,42101020101
1,42101035500
1,42101035800
1,42101030000
4,42101010700
4,42101039002
2,42101016200
1,42101017500
1,42101020101
1,42101008101
1,42101024700
4,42101016702
1,42101002000
4,42101019000
3,42101016902
1,42101020200
4,42101014700
3,42101027902
1,42101016902
1,42101035601
2,42101029900
3,42101011300
2,42101033000
3,42101009600
4,42101025200
3,42101030200
2,42101037700
1,42101011000
7,42101029300
4,42101031700
2,42101028200
2,42101015102
7,42101016800
3,42101015200
2,42101033600
1,42101020200
1,42101007900
3,42101029900
1,42101027902
4,42101037700
2,42101010400
3,42101017100
4,42101028600
1,42101010800
1,42101036000
2,42101002500
4,42101007102
3,42101026301
1,42101013300
3,42101036202
3,42101010700
3,42101017900
1,42101028901
1,
1,42101001101
1,42101016500
4,42101017300
1,42101030100
1,42101035701
1,42101003100
1,42101038800
6,42101020400
1,42101008302
4,42101009802
1,42101011000
2,42101007200
2,42101025300
1,42101033701
1,42101024500
2,42101013900
1,42101032900
2,42101024500
1,42101015101
3,42101011000
1,42101024500
1,42101013300
2,42101017900
1,42101003300
4,42101026301
1,42101015102
1,42101020200
1,42101024500
1,42101028100
1,42101024500
1,42101025300
2,42101031900
4,42101010500
4,42101024300
1,42101024300
2,42101007400
1,42101010600
1,42101027902
1,42101024700
1,42101024500
2,42101034701
1,42101008301
1,42101024100
5,42101032600
1,42101033800
4,42101009300
3,42101024500
3,42101036202
2,42101003701
2,42101009300
1,42101011000
1,42101003901
1,42101024500
1,42101024500
1,42101024500
1,42101008301
1,42101011200
1,42101030100
1,42101009300
3,42101019700
1,42101034802
1,42101030100
4,42101011400
2,42101020101
3,42101002100
3,42101024300
3,42101024300
1,42101035702
3,42101003200
3,42101028000
2,42101017800
4,42101028300
2,42101015101
2,42101010900
3,42101024400
2,42101007101
4,
5,42101039002
1,42101030501
3,42101019700
1,42101027902
4,42101025400
1,42101013300
1,42101028000
1,42101007300
4,42101017500
1,42101030100
1,42101030200
5,42101039001
1,42101030100
1,42101010500
1,42101008301
1,42101006300
1,42101014700
1,42101008301
3,42101008200
1,42101008302
3,42101026800
2,42101026800
2,42101037700
3,42101037700
3,42101016400
4,42101018802
2,42101017900
2,42101014700
2,42101011200
1,42101025200
1,42101020200
4,42101034701
1,42101006700
1,42101024500
4,42101017100
2,42101017900
1,42101026700
1,42101013300
1,42101036501
3,42101031600
1,42101032500
3,42101027901
1,42101024700
1,42101033600
2,42101016701
1,42101014800
5,42101032500
1,42101008301
5,42101028600
3,42101015101
1,42101009802
1,42101027901
6,42101016800
6,42101010100
1,42101008602
2,42101024700
1,42101033701
1,
1,42101026800
1,42101026800
4,42101007101
7,42101020300
1,42101037700
1,42101033600
2,42101009600
1,42101007300
2,42101031900
2,42101002701
3,42101007000
2,42101014000
1,42101033701
1,42101030100
1,42101031900
4,42101019700
3,42101010400
3,42101010300
3,42101003300
2,42101029400
3,42101008500
2,42101038301
2,42101011200
1,42101008301
1,42101027902
1,42101006000
1,42101032900
1,42101000401
1,42101034900
4,42101031700
2,42101007200
1,42101023600
3,42101030000
1,42101002400
1,42101035601
3,42101027401
1,42101015300
1,42101006500
2,42101002200
3,42101020101
5,42101027800
2,42101016800
2,42101012201
4,42101024700
1,42101030000
2,42101012201
2,42101030100
2,42101017500
2,42101017701
3,42101016902
5,42101007200
3,42101016902
1,42101010500
1,42101010500
1,42101010500
1,42101015300
3,42101015300
2,42101015300
1,42101015300
1,42101020101
2,42101015300
2,42101007400
4,42101016902
2,42101008102
1,42101003600
3,42101010400
2,42101014400
3,42101013300
4,42101002500
1,42101002500
3,42101017202
4,42101003200
1,42101004201
4,42101003200
1,42101015300
2,42101010400
1,42101014900
1,42101027901
4,42101009500
1,42101008301
2,42101010400
1,42101027800
1,42101016902
1,42101008301
2,42101010100
1,42101024500
3,42101015200
4,42101027600
2,42101029800
4,42101017202
4,42101029900
2,42101025200
2,42101014000
1,42101000500
1,42101013300
1,42101012100
3,42101019900
2,42101010400
1,42101003600
2,42101037700
3,42101015700
3,42101009300
1,42101012100
1,42101017100
1,42101000701
1,42101017400
2,42101020200
1,42101010700
1,42101013300
5,42101012204
1,42101037700
2,42101037700
5,42101031900
3,42101027700
2,42101016400
1,42101032300
1,42101016901
1,42101016901
1,42101024100
1,42101003300
1,42101003300
4,42101009500
4,42101028100
1,42101012201
3,42101009500
3,42101024500
2,42101027700
2,42101037700
3,42101037700
1,42101007800
1,42101026800
2,42101037700
4,42101007101
2,42101015300
1,42101007400
1,42101008301
2,42101037700
2,42101037700
1,42101013200
4,42101028600
1,42101016901
1,42101016901
1,42101016901
1,42101016901
1,42101016901
1,42101016901
2,42101010900
5,42101002500
1,42101016901
1,42101016901
2,42101010400
1,42101035601
5,42101009600
1,42101016901
1,42101016901
2,42101016901
1,42101016901
1,42101013800
1,42101013800
1,42101013800
1,42101013800
1,42101013800
1,42101013800
4,42101009300
3,42101037700
4,42101011000
1,42101009400
3,42101017202
2,42101029400
1,42101015300
2,42101000701
1,
1,42101008301
1,42101001400
1,42101017300
1,42101017300
1,42101012100
1,42101010500
3,42101010900
2,42101015300
1,42101010700
1,42101002500
3,42101002500
1,42101002500
1,42101009300
1,42101009300
1,42101009300
1,42101009300
1,42101009300
1,42101009300
1,42101035800
1,42101035702
1,42101029800
1,42101035702
3,42101008101
3,42101026600
3,42101026800
3,42101031300
1,42101014900
2,42101027200
4,42101011200
2,42101010800
8,42101007101
1,42101026700
1,42101003200
1,42101002000
1,42101006500
1,42101000901
1,42101000901
1,42101017300
1,42101012100
1,42101000401
2,42101011900
1,42101009300
4,42101009500
2,42101014700
2,42101017400
4,42101009200
1,42101008301
4,
3,42101029900
4,42101009200
3,42101019200
3,42101037700
4,42101012204
3,42101037700
3,42101017701
1,42101011000
3,42101006400
3,42101032300
4,42101011300
3,42101034701
3,42101017201
3,42101024000
4,42101029900
1,42101033400
1,42101035702
3,42101009600
3,42101014700
1,42101000500
2,42101016400
1,42101008302
2,42101032100
1,42101008601
1,42101024300
4,42101016701
1,42101033300
4,42101010100
3,42101013702
1,42101020200
6,42101008200
1,42101038900
1,42101032300
1,42101008302
1,42101002000
3,42101001600
1,42101030100
1,42101030100
5,42101010400
3,42101010200
5,42101006400
4,42101014900
5,42101028901
3,42101017202
4,42101010100
1,42101020500
3,42101029400
1,42101017602
1,42101003600
1,42101003600
1,42101003600
2,42101007400
1,42101003600
1,42101003600
4,42101032100
3,42101010200
1,42101003600
6,42101008400
4,42101017100
2,
1,42101028000
1,42101033102
1,42101010200
3,42101034803
1,42101004104
1,42101016600
1,42101016400
1,42101003600
1,42101003600
1,42101003600
1,42101003600
1,42101003600
1,
1,42101013200
1,42101003600
1,42101026700
2,42101014201
2,42101025200
10,42101024000
1,42101017202
1,42101027600
9,42101039002
2,42101016800
2,42101016902
2,42101025700
2,42101025300
1,42101032300
3,42101016701
1,42101013300
2,42101002500
2,42101010400
2,42101024500
1,42101019200
2,42101017602
1,42101026900
2,42101016901
2,42101024200
3,42101017900
2,42101026700
2,42101024300
3,42101010000
4,42101007900
2,42101018801
5,42101019200
3,42101017601
1,42101003600
4,42101016400
1,42101009300
1,42101009300
6,42101001500
2,42101017602
5,42101027700
2,42101028000
1,42101010700
3,42101017300
1,42101010800
4,42101007102
3,42101019700
5,42101017202
3,42101007101
1,42101033600
4,42101017400
4,42101010700
5,42101010100
2,42101032900
4,42101010500
2,42101034900
7,42101009400
2,42101008200
6,42101011200
3,42101033000
1,42101034501
3,42101031102
4,42101009200
2,42101010800
3,42101007102
3,42101017900
2,42101039001
1,42101020200
6,42101027600
7,42101029900
4,42101031102
2,42101009400
3,42101030100
2,42101014400
4,42101032000
2,42101029000
1,42101037700
3,42101038900
2,42101011000
1,42101024500
1,42101011000
1,42101030100
3,42101032500
1,42101027600
1,42101028000
1,42101027600
1,42101028400
1,42101012100
1,42101029300
1,42101024300
3,42101026800
3,42101020101
2,42101026800
4,42101024800
2,42101015200
3,42101029300
3,42101024800
1,42101020500
2,42101019000
1,42101034400
4,42101008200
4,42101019800
3,42101009802
4,42101031101
1,42101017900
12,42101010200
6,42101017100
4,42101028000
2,42101009300
5,42101006000
4,42101007400
3,42101011100
4,42101018802
5,42101011000
4,42101010200
4,42101028300
6,42101028901
3,42101009600
3,42101020400
5,42101011500
4,42101020200
3,42101024500
3,42101017900
4,42101030000
5,42101011400
5,42101030000
4,42101029900
4,42101025200
4,42101028500
3,42101010700
4,42101024700
3,42101016902
3,42101010600
1,42101035601
1,42101013300
1,
1,
2,42101016400
1,
3,42101016400
1,
1,
1,42101024500
3,42101016400
3,42101016400
3,42101016400
2,42101016400
1,
1,
1,
1,42101003600
1,42101008102
1,42101008102
5,42101003600
3,42101033000
2,42101009200
3,42101026200
2,42101026800
1,42101025200
6,
1,42101008301
7,42101030000
1,42101006600
1,42101020101
1,42101002500
5,42101014700
2,42101010400
1,42101008301
1,42101000500
1,42101035601
1,42101011000
1,42101028902
2,42101010100
4,42101006200
3,42101017900
2,42101014800
2,42101037700
1,42101012201
1,42101012201
1,42101026900
1,42101037700
4,42101037700
1,42101026800
3,42101017900
5,42101037700
4,42101009200
3,42101017900
2,42101017900
3,42101017900
5,42101017900
3,42101017900
1,42101027500
1,42101024300
1,42101025400
1,42101027800
1,42101028300
1,42101033300
1,42101010200
1,42101033300
1,42101035702
1,42101002200
1,42101002200
1,42101037300
1,42101037300
1,42101004101
1,42101037300
1,42101037300
2,42101026200
2,42101026000
7,42101009300
1,42101036501
1,42101008301
1,42101000401
1,42101033300
1,42101033300
1,42101033300
4,42101020300
2,42101032600
4,42101028600
1,42101002200
1,42101000901
1,42101000701
1,42101008301
1,42101001400
3,42101017900
1,42101036501
3,42101008101
1,42101028300
1,42101033300
1,42101012100
1,42101000401
1,42101017500
1,42101010600
3,42101019100
1,42101017300
2,42101010800
1,42101013900
1,42101013900
1,42101027700
1,42101011000
1,42101027800
2,42101006700
4,42101010600
1,42101028000
3,42101016901
4,42101011200
1,42101012201
1,42101002000
1,42101013800
1,42101013900
1,42101013900
1,42101013900
1,42101013900
3,42101002500
4,
1,42101030100
3,42101017300
1,42101024600
1,42101000701
3,42101037700
4,42101014400
3,42101007300
3,42101027600
1,42101000701
1,42101011000
1,42101034502
5,42101038301
5,42101038301
1,42101038301
2,42101016200
7,42101017800
2,42101003901
3,42101016200
1,42101028300
1,42101024500
2,42101010400
2,42101010400
2,42101010400
2,42101010400
2,42101010400
1,42101024100
2,42101014700
3,42101030000
3,42101030000
4,42101009100
1,42101034600
2,42101026200
1,42101032300
1,42101030100
2,42101030100
1,42101013900
1,42101014900
2,42101024500
3,42101007400
1,42101003600
1,42101003901
1,42101013300
1,42101023600
1,42101016800
1,42101002500
1,42101002500
2,42101002500
1,42101002500
7,42101011200
3,42101009600
4,42101015700
2,42101009400
4,42101015101
4,42101020200
2,42101002500
1,42101034900
1,42101030700
1,42101029800
3,42101037700
3,42101020101
1,42101013200
2,42101024200
4,42101037700
2,42101017400
3,42101011400
1,42101020101
3,42101015101
4,42101017601
1,42101013300
1,42101006000
1,42101020200
1,42101020200
1,42101020200
1,42101020200
1,42101020200
1,42101020200
1,42101020200
1,42101020200
1,42101020200
1,42101020200
1,42101020200
1,42101020200
1,42101020200
1,42101020200
1,42101020200
1,42101020200
4,42101011300
2,42101014400
6,42101024200
3,
1,42101031101
3,42101024500
1,42101013300
1,42101024100
1,42101011100
1,42101002500
3,42101002500
3,42101002500
5,42101002500
1,42101002500
2,42101015200
1,42101024000
1,42101036202
1,42101000500
1,42101000701
1,42101038200
5,42101009600
2,42101034100
3,42101029900
4,42101010000
1,42101007200
3,42101006700
3,42101029900
4,42101010300
4,42101028300
6,42101033000
3,42101017201
2,42101027902
1,42101000901
1,42101013900
1,42101008601
1,42101017500
2,42101013200
1,42101038000
1,42101029900
1,42101029900
1,42101010800
2,42101010800
4,42101011900
4,42101003300
4,42101015700
1,42101002000
1,42101007300
2,42101032600
1,42101028200
1,42101030000
1,42101011900
1,42101010600
4,42101015200
1,42101020200
2,42101031102
3,42101016902
4,42101015200
4,42101039001
3,42101010500
1,42101009600
1,42101026800
5,42101016901
1,42101026800
1,42101026000
6,42101014700
1,42101023600
1,42101016800
1,42101034802
5,42101020101
2,42101008200
1,42101002500
1,42101016902
2,42101015102
2,42101018801
4,42101013900
2,42101015300
1,42101024300
1,42101028300
1,42101030100
2,42101010500
3,42101007102
1,42101014900
5,42101014000
1,42101010600
2,42101009400
2,42101008400
1,42101014900
3,42101015300
2,42101026800
2,42101011900
1,42101013800
2,42101007800
6,42101011100
4,42101008302
3,42101006700
5,42101016701
5,42101017800
1,42101020200
4,42101006400
2,42101011900
1,42101003600
1,42101002200
3,42101026700
2,42101001500
1,42101036000
4,42101011800
2,42101015300
2,42101011900
2,42101007000
1,42101012201
1,42101025200
1,42101026800
1,42101039001
1,42101020200
1,42101013900
1,42101020101
1,42101032900
1,42101032900
3,42101024300
3,42101014000
1,42101010500
1,42101026700
1,42101032500
2,42101008400
4,42101037700
6,42101008302
4,42101008400
1,42101020200
4,42101017800
3,42101008200
1,42101008301
1,42101024700
1,42101010000
2,42101001900
2,42101028000
5,42101017500
1,42101011000
1,42101027200
1,42101010700
4,42101008500
5,42101037700
3,42101028200
5,42101009802
1,42101010500
1,42101011900
2,42101003701
1,42101014201
6,42101006400
1,42101006000
1,42101011200
3,42101031700
4,42101001001
1,42101009200
1,42101009200
1,42101009200
1,42101023600
1,42101013300
1,42101023800
3,42101008302
1,42101026400
1,42101016500
4,42101010900
2,42101010900
1,42101010900
1,42101010900
3,42101009300
1,42101009200
1,42101000901
1,42101014900
2,42101008302
1,42101017602
1,42101016100
4,42101036202
2,42101012100
1,42101012100
1,42101026700
4,42101007400
4,42101008101
1,42101026800
1,42101000901
2,42101026700
3,42101016800
4,42101016701
3,42101020500
3,42101019700
1,42101028300
1,42101008500
3,42101013900
1,42101012100
1,42101012100
1,42101012100
1,42101009200
1,42101009200
1,42101008301
1,42101012100
1,42101026900
6,42101030501
1,42101035800
5,42101024000
3,42101031402
4,42101027500
4,42101029000
3,42101024900
2,42101026600
3,42101020101
4,42101003300
3,42101031900
3,42101024700
2,42101010600
3,42101010100
3,42101026700
6,42101009500
1,42101026000
1,42101034802
4,42101028200
2,42101003300
3,42101006300
4,42101024900
4,42101010200
3,42101011900
3,42101007101
2,42101032100
7,42101010900
4,42101038900
2,42101028600
2,42101027901
1,42101011400
1,42101002000
1,42101034701
1,42101003100
3,42101011000
1,42101003901
1,42101024300
1,42101029100
1,42101016701
2,42101024300
3,42101008500
1,42101032900
1,42101027200
2,42101003300
2,42101010400
1,42101035800
2,42101024700
1,42101032100
1,42101006700
2,42101019200
1,42101014100
1,42101017201
1,42101014500
1,42101035500
4,42101025300
4,42101010800
1,42101035601
3,42101008302
4,42101006700
4,42101002000
2,42101034802
3,42101007101
6,42101010100
2,42101008200
3,42101006600
1,42101026500
6,42101011200
2,42101024700
6,42101025300
5,42101020102
3,42101024400
5,42101010300
3,42101009400
3,42101009600
2,42101035702
3,42101009802
1,42101025400
4,42101011100
2,42101017400
1,42101030100
3,42101025300
2,42101032100
3,42101004201
3,42101009802
5,42101027902
2,42101006600
1,42101008601
1,42101024100
1,42101000500
3,42101028100
2,42101007000
1,42101009802
1,42101034802
1,42101025400
1,42101035601
1,42101026400
2,42101007101
2,42101007400
1,42101006700
1,42101006700
1,42101027600
1,42101033600
1,42101008301
1,42101024500
4,42101015700
1,42101003300
4,42101006700
3,42101028600
3,42101027902
3,42101011900
4,42101011500
4,42101015300
6,42101018801
1,42101010800
4,42101003701
4,42101018001
2,42101037700
3,42101007200
2,42101024700
3,42101016702
4,42101025300
1,42101027800
2,42101011800
2,
2,42101037700
3,42101013300
1,42101013300
1,42101016901
2,42101009400
4,42101031200
2,42101024300
1,42101008301
1,42101020200
2,42101015700
1,42101011000
2,42101009400
1,42101029300
1,42101034802
5,42101010400
2,42101019800
5,42101016702
1,42101027200
2,42101029300
6,42101027000
1,42101024400
1,42101033300
1,42101028200
5,42101016800
4,42101008200
2,42101008200
5,42101033000
3,42101034900
3,42101018801
1,42101012204
1,42101011000
1,42101019700
5,42101038000
4,42101031401
4,42101007400
5,42101006000
3,42101028700
2,42101011300
3,42101019501
3,42101028400
2,42101037700
4,42101011500
3,42101003300
4,42101015700
1,42101006000
2,42101019000
1,42101006000
4,42101027700
6,42101024000
6,42101038200
4,42101020102
3,42101017100
4,42101027402
6,42101032600
3,42101011200
1,42101027902
2,42101033000
1,42101014100
1,42101003300
1,42101029800
1,42101024500
3,42101024700
4,42101011200
6,42101032000
2,42101025200
1,42101027902
1,42101014202
2,42101034802
1,42101009500
1,42101003300
1,42101030100
1,42101024100
1,42101032500
1,42101024300
3,42101027700
1,42101030100
1,42101008302
4,42101008102
1,42101026900
4,42101009300
5,42101009300
3,42101017800
5,42101017500
4,42101032100
3,42101010200
2,42101016702
6,42101016500
2,42101029000
2,42101014700
2,42101038301
1,42101010600
1,42101008301
2,42101011900
7,42101016200
1,42101016200
2,42101016200
2,42101016200
2,42101016200
3,42101016200
5,42101038301
3,42101001500
1,42101026800
1,42101024000
1,42101024700
1,42101020101
2,42101006700
2,42101008302
3,42101016200
4,42101007102
4,42101032000
1,42101008400
1,
1,42101033600
3,42101017602
2,42101037700
6,42101014400
2,42101014700
6,42101017900
2,42101035601
1,42101033600
1,42101003300
4,42101010300
3,42101032300
4,42101024900
4,42101010400
1,42101035900
2,42101011900
1,42101030100
3,42101014900
4,
1,42101012204
1,42101032500
1,42101001400
1,42101011100
2,42101010800
2,42101014100
2,42101026800
2,
1,42101014100
2,42101014100
3,42101014100
1,42101014100
1,42101014100
2,42101014100
1,42101014100
1,42101014100
1,42101014100
1,42101014100
1,42101024700
4,42101037700
1,42101013300
3,42101015700
1,42101011900
3,42101019000
3,42101007800
5,
4,42101010200
4,
1,42101025400
1,42101011000
1,42101024400
4,42101025200
1,42101037700
2,42101032100
2,42101036501
3,42101014700
2,42101017202
4,
1,42101029800
3,42101016400
4,42101016800
2,42101016800
1,42101024700
1,42101027902
1,42101002500
2,42101039100
2,42101012201
5,42101008400
4,42101018801
5,42101015102
3,42101017701
1,42101017100
1,42101017100
2,42101024200
1,42101013900
1,42101013900
1,42101013900
1,42101013900
1,42101013900
1,42101013900
1,42101013900
1,42101013900
1,42101013900
1,42101013900
1,42101013900
1,42101013900
3,42101008302
1,
2,42101016902
1,42101019700
5,42101012204
1,42101001400
2,42101008302
1,42101000500
1,42101017300
1,42101017300
1,42101017300
1,42101017300
3,
2,42101014700
4,42101009300
1,42101030100
3,42101028200
4,42101009100
1,42101004201
1,42101003600
2,42101014400
2,42101001102
1,42101002500
3,42101009802
2,42101011800
1,42101009500
4,42101017702
1,42101024400
3,42101016800
4,42101017500
5,42101016200
2,42101010300
1,42101024100
1,42101003901
1,42101026800
1,42101019900
1,42101037700
2,42101019900
3,42101011900
1,42101013300
1,42101002500
2,42101002100
1,42101001600
2,42101037700
3,42101037700
3,42101037700
3,42101037700
2,42101037700
2,42101037700
3,42101024000
1,42101024000
3,42101037700
1,42101037700
2,42101037700
1,42101024000
4,42101024000
3,42101001102
2,42101019700
3,42101003701
3,42101033000
3,42101025300
1,42101029800
1,42101023700
1,42101006600
3,42101016800
3,42101007700
4,42101015700
1,42101024500
1,42101027901
1,42101012100
2,42101010400
1,42101012201
2,42101006500
1,42101012201
3,42101028000
5,42101009300
3,42101024700
5,42101019100
3,42101009400
3,42101016800
4,42101006300
4,42101007000
1,42101017900
1,42101024700
2,42101029800
1,42101014900
1,42101007400
5,42101016400
2,42101016200
1,42101008301
1,42101000500
1,42101011000
1,42101024500
1,42101013300
3,42101017602
2,42101038000
2,42101016500
4,42101011200
1,42101028300
3,42101016702
4,42101006700
1,42101023700
1,42101007800
2,42101008000
4,42101028200
2,42101025700
3,42101037700
2,42101008301
1,42101008500
3,42101037700
3,42101017701
3,42101026800
6,42101009400
1,42101002200
1,42101023700
1,42101023700
2,42101026800
4,42101024000
1,42101024000
3,42101024500
2,42101037700
2,42101024000
4,42101024000
1,42101024000
1,42101024000
3,42101037700
3,42101037700
3,42101037700
3,42101024000
2,42101037700
1,42101012201
1,42101037700
3,42101037700
4,42101037700
5,42101024000
1,42101024000
2,42101009300
4,42101016902
4,42101024000
3,42101024000
4,42101024000
4,42101024000
4,42101024000
1,42101024000
2,42101024000
3,42101024000
5,42101024000
6,42101024000
4,42101020101
1,42101003702
3,42101024000
4,42101024000
2,42101024000
2,42101024000
1,42101020200
1,42101000101
1,42101017300
7,42101014700
1,42101014900
1,42101000500
1,42101010600
1,42101008301
2,42101024200
1,42101006700
1,42101013900
4,42101029900
2,42101012204
1,42101020400
6,42101029900
5,42101016300
4,42101027402
2,
1,42101016400
5,42101020101
2,42101015101
4,42101008400
1,42101006000
1,42101006700
1,42101024700
2,42101007200
2,42101031200
1,42101017702
5,42101028400
1,42101027600
2,42101009300
2,42101006600
4,42101039001
1,42101011900
1,42101012201
1,42101016200
1,42101009300
1,42101016200
1,42101016200
3,42101024400
2,42101020200
4,42101024000
4,42101024000
4,42101024000
1,42101002500
2,42101010800
2,42101026400
7,42101008602
1,42101001400
3,42101010200
3,42101016800
1,42101024500
1,42101008301
1,42101002500
2,42101002500
1,42101012100
1,42101008301
2,42101014100
1,42101002200
4,42101028600
1,42101003300
4,42101002500
2,42101016800
1,42101035702
1,42101033600
4,42101016800
6,42101016901
2,42101030600
4,42101024200
4,42101006600
1,42101002500
2,42101001102
1,42101020101
1,42101026800
3,42101037700
2,42101018801
1,42101000500
2,42101004101
1,42101033300
2,42101006700
2,42101016500
2,42101009300
2,42101030700
1,42101002701
1,42101024500
1,42101008301
1,42101028000
4,42101009400
4,42101016902
4,42101011000
4,42101017300
1,42101017702
6,42101024300
4,42101019000
4,42101015102
3,42101039100
3,42101016702
4,42101003300
4,42101010800
1,42101034502
1,42101002701
1,42101028000
1,42101028000
3,42101027500
4,42101003200
2,42101010000
13,42101016902
2,42101007102
4,42101017500
2,42101008102
1,42101011200
2,42101038900
4,42101003300
6,42101024600
3,42101026700
2,42101006500
1,42101009400
3,42101018802
1,42101003300
4,42101020101
2,42101007102
1,42101006700
5,42101015700
3,42101006100
2,42101020500
3,42101026700
3,42101027901
1,
3,42101010400
1,42101025400
4,42101008302
2,42101019700
3,42101029900
1,42101025200
1,42101011200
1,
3,42101017202
1,42101008102
2,42101008302
1,42101030000
1,42101015300
1,42101008601
4,42101013702
6,42101028700
5,42101038200
4,42101017900
2,42101028800
5,42101008400
4,42101009400
4,42101024500
7,42101007400
5,42101025900
6,42101010300
2,42101030000
4,42101008301
6,42101039001
2,42101029800
4,42101010600
3,42101029900
3,42101027600
3,42101029100
4,42101028400
3,42101013702
2,42101034501
3,42101008101
7,42101025200
3,42101019100
6,42101027901
3,42101003200
3,42101037700
5,42101030501
1,42101013900
2,42101014700
4,42101013300
1,42101032300
4,42101019000
1,42101008301
1,42101027902
1,42101006700
1,42101023700
5,42101011300
3,42101024500
1,42101026000
3,42101028000
2,42101028000
2,42101034802
3,42101014900
3,42101033701
4,42101007400
5,42101027402
3,42101007102
1,42101027902
1,42101032500
4,42101030000
2,42101016902
2,42101008102
5,42101010800
2,42101024300
2,42101007102
2,42101012201
1,42101030100
4,42101011900
